artifact,id,tokens,KL,NLL,reference_NLL,delta_NLL,top1_flip
28M_act_b4_g64,public_prompt_02,80,0.06331552565097809,2.105860948562622,2.0264322757720947,0.07942849397659302,0.11249999701976776
28M_act_b4_g64,public_prompt_03,78,0.059237491339445114,2.2325258255004883,2.2190849781036377,0.013440926559269428,0.1538461595773697
28M_act_b4_g64,public_prompt_04,35,0.08367116749286652,2.9719107151031494,2.8325865268707275,0.13932426273822784,0.17142857611179352
28M_act_b4_g64,public_prompt_05,49,0.07524047791957855,1.990501880645752,1.9234999418258667,0.06700193881988525,0.12244898080825806
28M_act_b4_g64,public_prompt_06,31,0.08648162335157394,2.6463615894317627,2.587470054626465,0.05889180302619934,0.16129031777381897
28M_act_b4_g64,public_prompt_07,25,0.0458296500146389,2.5052874088287354,2.5187206268310547,-0.013433463871479034,0.11999999731779099
28M_act_b4_g64,public_prompt_08,43,0.06568152457475662,1.8989356756210327,1.7837692499160767,0.1151665523648262,0.20930232107639313
28M_act_b4_g64,public_prompt_09,26,0.07139074057340622,2.4335484504699707,2.48511004447937,-0.05156148225069046,0.1538461595773697
28M_act_b4_g64,public_prompt_10,33,0.040178269147872925,1.2628785371780396,1.2683120965957642,-0.005433532875031233,0.09090909361839294
28M_act_b4_g64,public_prompt_11,45,0.06407816708087921,2.4754981994628906,2.469459295272827,0.006038786377757788,0.1111111119389534
28M_act_b4_g64,public_prompt_12,30,0.06346030533313751,3.2566614151000977,3.167114496231079,0.08954682946205139,0.20000000298023224
28M_act_b4_g64,public_prompt_13,30,0.062172189354896545,2.0127437114715576,1.9159024953842163,0.0968414768576622,0.10000000149011612
28M_act_b4_g64,public_prompt_14,48,0.05212108790874481,1.6674455404281616,1.7205514907836914,-0.05310608074069023,0.02083333395421505
28M_act_b4_g64,public_prompt_15,70,0.043132882565259933,1.4587692022323608,1.3828270435333252,0.07594211399555206,0.05714285746216774
28M_act_b4_g64,public_prompt_16,58,0.048276983201503754,2.1733813285827637,2.1713435649871826,0.002037514466792345,0.08620689809322357
28M_act_b4_g64,public_prompt_17,47,0.057340506464242935,1.9230421781539917,1.8519636392593384,0.0710785910487175,0.08510638028383255
28M_act_b4_g64,public_prompt_18,48,0.04587710276246071,1.6979190111160278,1.6671637296676636,0.03075534850358963,0.125
28M_act_b4_g64,public_prompt_19,75,0.055141374468803406,1.684564471244812,1.7211352586746216,-0.03657063469290733,0.07999999821186066
28M_act_b4_g64,public_prompt_20,77,0.06399141252040863,2.312181234359741,2.30363130569458,0.008550024591386318,0.11688311398029327
28M_act_b4_g64,public_prompt_21,63,0.06084825471043587,1.786784052848816,1.7370163202285767,0.04976764693856239,0.0476190485060215
28M_act_b4_g64,public_prompt_22,83,0.04066475108265877,1.084840178489685,1.057115077972412,0.0277249813079834,0.07228915393352509
28M_act_b4_g64,public_prompt_23,72,0.049381375312805176,1.382586121559143,1.3680490255355835,0.014536955393850803,0.125
28M_act_b4_g64,public_prompt_24,79,0.04246347025036812,1.1814191341400146,1.1321942806243896,0.04922480508685112,0.050632912665605545
28M_act_b4_g64,public_prompt_25,99,0.04777200147509575,1.317790150642395,1.280475378036499,0.03731504827737808,0.10101009905338287
28M_act_b4_g64,public_prompt_26,118,0.057849518954753876,1.5603033304214478,1.4552134275436401,0.10509014874696732,0.17796610295772552
28M_act_b4_g64,public_prompt_27,59,0.03498566895723343,1.0482851266860962,1.0514684915542603,-0.0031833206303417683,0.050847455859184265
28M_act_b4_g64,public_prompt_28,81,0.03644707053899765,1.40371835231781,1.3401585817337036,0.06355967372655869,0.1111111119389534
28M_act_b4_g64,public_prompt_29,105,0.06474843621253967,1.457417607307434,1.4791494607925415,-0.021731959655880928,0.12380952388048172
28M_act_b4_g64,public_prompt_30,38,0.06654573231935501,2.2321062088012695,2.215730905532837,0.01637553609907627,0.2631579041481018
28M_act_b4_g64,public_prompt_31,34,0.047913044691085815,1.6307531595230103,1.575264573097229,0.05548863485455513,0.0882352963089943
28M_act_b4_g64,public_prompt_32,44,0.06078389659523964,1.4156076908111572,1.4582417011260986,-0.042634017765522,0.09090909361839294
28M_act_b4_g64,public_prompt_33,74,0.08690488338470459,1.6893635988235474,1.6313740015029907,0.05798998475074768,0.14864864945411682
28M_act_b4_g64,public_prompt_34,92,0.05677872151136398,1.2012088298797607,1.2494921684265137,-0.04828336089849472,0.10869564861059189
28M_act_b4_g64,public_prompt_35,88,0.047421809285879135,1.3237751722335815,1.22794771194458,0.0958273708820343,0.125
28M_act_b4_g64,public_prompt_36,41,0.06137854978442192,1.460693120956421,1.3811752796173096,0.07951798290014267,0.04878048598766327
28M_act_b4_g64,public_prompt_37,38,0.08791489899158478,2.142735004425049,1.9372752904891968,0.2054596245288849,0.1315789520740509
28M_act_b4_g64,public_prompt_38,38,0.048593055456876755,1.4900009632110596,1.430587649345398,0.059413351118564606,0.07894736528396606
28M_act_b4_g64,public_prompt_39,109,0.05169361084699631,1.4446187019348145,1.3201929330825806,0.12442575395107269,0.12844036519527435
28M_act_b4_g64,public_prompt_40,102,0.033851537853479385,1.0200514793395996,1.0010985136032104,0.01895288936793804,0.11764705926179886
28M_act_b4_g64,public_prompt_41,58,0.050627611577510834,1.3160300254821777,1.2272225618362427,0.08880753070116043,0.06896551698446274
28M_act_b4_g64,public_prompt_42,73,0.054898668080568314,1.6569660902023315,1.6034846305847168,0.05348129943013191,0.09589041024446487
28M_act_b4_g64,public_prompt_43,61,0.04407988488674164,1.2920464277267456,1.3105212450027466,-0.018474863842129707,0.09836065769195557
